Issue id,Duplicate id
13312466,13330582
13409181,13406429
13443608,13441793
13362436,13362435
13534793,13528108
13556524,13519790
13519947,13520930
13528851,"13543806, 13507491"
13277853,13277852
13308692,13308668
13559365,13560559
13325970,13325949
13556717,"13522998, 13522998"
13560559,13559365
13398749,13392751
13519883,13517919
13530862,13526397
13547361,13547359
13329045,13323952
13481566,13423759
13517685,13560206
13277984,13279942
13356943,13351421
13559298,13559299
13408974,13409179
13392751,13398749
13553562,13550589
13383461,13359699
13277852,13277853
13330636,13330385
13340494,13317502
13491388,13311188
13379304,13400827
13420672,13557750
13294487,13303191
13342319,13334346
13325949,13325970
13424737,13411366
13560089,13559292
13399871,13400202
13440231,13426231
13409140,13409734
13396968,13387081
13351503,13352724
13560194,13427513
13411366,13424737
13575729,13574949
13417724,13423027
13599384,13486649
13540520,13540519
13400827,"13519653, 13379304"
13346966,13579718
13409734,13409140
13362722,13351881
13320828,13342319
13586341,13592854
13295854,13296505
13441793,13443608
13323121,13325642
13372158,13408095
13330582,13312466
13535015,13415643
13559314,13559310
13559297,13559294
13541631,13429188
13577266,13577258
13559294,13559297
13574949,13575729
13351421,13356943
13362435,13362436
13359699,13383461
13559308,13559313
13316576,13385017
13520930,13519947
13423027,13417724
13290857,13290860
13357630,13356117
13483682,13554706
13579718,13346966
13411324,13424501
13434516,13434557
13405990,13409182
13495180,13487155
13401921,13403169
13311188,13491388
13362685,13362689
13330385,13330636
13517919,13519883
13472099,13482611
13425003,13445160
13317502,13340494
13418034,13401693
13429188,13419369
13425021,"13425004, 13425004"
13550589,13553562
13559316,13559309
13380206,13403547
13483271,13481529
13374159,13374158
13554706,13483682
13426517,13396088
13560036,13560037
13529365,13530489
13338464,13338465
13529977,13535770
13451378,13450390
13410294,13409722
13491808,13485413
13352963,13352964
13435952,13440545
13593745,13584145
13486472,13485915
13287181,13288139
13323361,13329652
13473329,13472129
13343822,13353722
13569380,13582872
13328984,13386877
13429758,13429759
13339558,13525876
13581486,13529988
13478606,13423328
13358149,13315751
13478452,13478269
13381356,13380496
13484520,13483078
13556559,13580056
13329652,13323361
13582872,13569380
13435892,13436153
13401591,13399415
13562836,13573172
13423328,13478606
13365757,13365756
13399415,13401591
13526196,13514151
13319673,13319553
13485413,13491808
13474719,13473338
13573172,13562836
13313687,13314197
13337005,13336805
13473338,13474719
13546563,13548117
13436153,13435892
13321043,13345236
13432745,13412852
13481037,13326665
13424270,13365829
13319553,13319673
13289655,13286152
13529988,13581486
13420194,13420488
13472056,13471087
13347124,13339673
13336805,13337005
13421665,13430997
13286152,13289655
13341443,13345117
13548117,13546563
13527792,13534114
13343360,13427168
13483078,13484520
13415769,13389310
13362199,13399825
13427168,13343360
13338162,13336044
13301212,13344467
13339673,13348358
13534114,13527792
13399825,13362199
13514035,13522853
13386877,13328984
13285270,13312586
13514151,13526196
13434079,13470812
13380496,13381356
13429759,13429758
13326665,13481037
13485915,13486472
13312586,13285270
13522810,13558876
13525876,13339558
13352964,13352963
13420488,13420194
13345117,13341443
13595922,13286148
13314197,13313687
13286148,13595922
13279610,13287276
13344467,13301212
13315751,13358149
13478820,13411867
13470812,13434079
13365829,13424270
13430997,13421665
13365756,13365757
13599787,13549948
13472380,13432165
13472420,13472057
13339216,13338474
13584145,13593745
13357600,13344074
13558876,13522810
13345236,13321043
13343407,13343143
13362832,13561742
13338807,13571563
13528847,13529273
13380435,13380436
13523954,13522311
13592448,13571542
13290844,"13286898, 13290843"
13529464,13558181
13561742,13362832
13493451,13493686
13312685,13312683
13341867,13341791
13298861,13333250
13555560,13554141
13335754,13469093
13336690,13320258
13369341,13380399
13293015,13291664
13483892,13503684
13522311,13523954
13596253,13598011
13301873,13299426
13523883,13413992
13575709,13568947
13476491,13435686
13280130,13350902
13598011,13596253
13558181,13529464
13592925,13594638
13469701,13469509
13415090,13304322
13565122,13565123
13361437,13345403
13359258,13324229
13554141,"13555560, 13523503"
13380436,13380435
13345403,13361437
13571563,13338807
13383390,13393625
13389891,13578807
13290843,13290844
13300407,13301011
13320897,13338114
13419663,13541180
13278441,13281448
13368079,13368078
13324229,13359258
13312683,13312685
13304768,13303531
13291665,13291666
13363126,13353559
13298235,13287724
13281448,13278441
13469093,13335754
13367394,13350980
13429616,13380042
13296897,13304868
13341791,13341867
13287724,13298235
13291664,13293015
13344315,13344658
13350980,13367394
13350902,13280130
13342375,13320811
13515190,13383390
13337479,13352901
13413992,13523883
13320811,13342375
13353559,13363126
13343143,13343407
13380042,13362288
13565123,13565124
13574948,13438183
13503684,13483892
13316116,13315716
13570296,13523503
13291666,13291665
13438183,13574948
13362507,13324135
13333250,13298861
13523503,13570296
13541180,13419663
13304322,13415090
13315716,13316116
13570245,13570248
13315133,13345188
13310672,13321192
13372483,13383983
13381178,13376468
13399507,13338174
13576846,13582053
13346977,13294082
13579939,13570023
13318475,13354065
13411684,13411409
13521576,13517668
13502634,13503183
13537904,13565815
13288309,13288450
13449351,"13449352, 13449352"
13322032,13326338
13365460,13365466
13369965,13410328
13407196,13410585
13277616,13277636
13289433,13290977
13397566,13393004
13335497,13377994
13395980,13381338
13579953,13578505
13401947,13381011
13430483,13418517
13383192,13367144
13324538,13337329
13278433,13299963
13546863,13543596
13439039,13469863
13602508,13526136
13307934,13307933
13328674,13328811
13573074,13572863
13290748,13297945
13285808,13286104
13538042,13535712
13522145,13514673
13373873,13358749
13594251,13569689
13301431,13301439
13360944,13360989
13481726,13278345
13373120,13361007
13529123,13533856
13537559,13520424
13475730,13337307
13347575,13353488
13367532,13367534
13516063,13518196
13309781,13314731
13365327,13365328
13406749,13415306
13537070,13535713
13369454,13380268
13476774,13476471
13599364,13599363
13387495,13360943
13422137,13406971
13526136,13602508
13361007,13373120
13503879,13503178
13537136,13537016
13563989,13579472
13516200,13514886
13368756,13449019
13529161,13527018
13478489,13416440
13306239,13306238
13345188,13315133
13514538,13522879
13320982,13315797
13312407,13330656
13410718,13410694
13342897,13316521
13292045,13365275
13438681,13386450
13424536,13482060
13354844,13360286
13569289,13565644
13301439,13301431
13383839,13382956
13362868,13362869
13520892,13520234
13545024,13541983
13537105,13537028
13326717,13369454
13522879,13514538
13548366,13547799
13400626,13400791
13367534,13367532
13447414,13446461
13520424,13537559
13552256,13285712
13297945,13290748
13410328,13369965
13355465,13354865
13321192,13310672
13311794,13386733
13391825,13398092
13420719,13429383
13503178,13503879
13527018,13529161
13442741,13442740
13424557,13366798
13481599,13468358
13369626,13369625
13314731,13309781
13357571,13378901
13468358,13481599
13320353,13315082
13542472,"13542471, 13542471"
13434136,13449323
13485195,13473128
13433482,13390545
13516146,13516195
13363491,13363492
13445316,13445315
13338174,13399507
13438775,13361418
13575921,13375680
13537907,13482317
13449323,13434136
13476919,13476921
13300231,13295946
13368754,13368753
13341955,13342022
13367144,13383192
13515722,13515878
13514672,13493390
13328229,13329042
13324252,13321190
13316521,13342897
13442740,13442741
13586879,13589694
13342022,13341955
13543871,13543885
13553941,13553943
13579472,13563989
13410585,13407196
13382956,13407897
13412853,13412919
13366798,13424557
13391150,13416286
13445315,13445316
13307909,13307904
13299123,13368688
13484481,13484482
13344267,13339536
13438855,13400047
13513638,13506718
13493390,13514672
13415609,13366643
13569689,13594251
13514673,13522145
13449019,13368756
13494183,13529870
13339920,13338168
13541301,13540227
13346333,13412659
13450863,13450870
13449894,13416028
13540227,13541301
13368326,13370704
13532101,13531368
13281157,13283182
13326338,13322032
13392311,13500644
13295946,13300231
13369237,13285724
13480463,13515499
13406971,13422137
13315797,13317432
13365466,13365460
13525639,13529764
13328811,13328674
13419939,13416412
13277566,13277567
13370252,13370544
13527045,13527183
13570023,13579939
13434531,13434529
13338168,13339920
13344728,13323725
13432761,13430369
13367530,13367531
13363523,13351742
13454983,13449608
13382791,13381521
13418517,13430483
13312347,13364756
13412919,13412853
13318249,13318244
13342588,13325573
13365733,13365731
13368753,13368754
13401539,13387216
13286104,13285808
13509166,13412208
13516195,13516146
13398288,13311700
13479551,13481711
13413292,13428549
13536389,13536388
13532414,13532022
13365328,13365327
13380231,13380388
13307904,13307909
13378901,13357571
13527049,13526107
13361418,13438775
13299963,13278433
13535712,13538042
13357824,13327526
13381338,13395980
13526107,13527049
13363492,"13363490, 13363493"
13578505,13579953
13434641,13448375
13387651,13573273
13438195,13438189
13392240,13468509
13500269,13505525
13368688,13299123
13296076,13297533
13515882,13506199
13552341,13551543
13549566,13556321
13599363,13599364
13360989,13360944
13482060,13424536
13309875,13315769
13380388,13380231
13337329,13324538
13537138,13537149
13556802,13557671
13486579,13485276
13352136,13355012
13346505,13346504
13318244,13318249
13547053,13547051
13329042,13328229
13449090,13449113
13390545,"13433482, 13393803"
13484482,13484481
13287805,13290159
13506199,13515882
13477332,13481784
13393004,13397566
13537016,13537069
13369625,13369626
13358749,13373873
13390806,13391479
13361755,13336581
13543527,13545437
13416377,13399626
13325445,13325444
13574453,13574509
13547324,13546747
13589845,13588393
13448678,13448676
13282925,13300117
13348885,13349072
13353488,13347575
13375680,13575921
13326903,13326231
13476921,13476920
13476471,13476774
13410694,13410718
13514872,13515455
13542471,"13542472, 13542472"
13518196,13516063
13574509,13574453
13525401,13516209
13527183,13527045
13373437,13376520
13473128,13485195
13383983,13372483
13305276,13345939
13565644,13569289
13387723,13384047
13429383,13420719
13509808,13509229
13366643,13415609
13326231,13326903
13481084,13436961
13293226,13307843
13477564,13475837
13446461,13447414
13529870,13494183
13285712,13552256
13381521,13382791
13337307,13475730
13449113,13449090
13315082,13320353
13405839,13409023
13437045,13480641
13407415,13486883
13330656,13312407
13480641,13437045
13416286,13391150
13285724,13369237
13449721,13424306
13317591,13315911
13515455,13514861
13565815,13537904
13364756,13312347
13277567,13277566
13450861,13450863
13381011,13401947
13448375,13434641
13537149,13537138
13416957,13407830
13325444,13325445
13589694,13586879
13327309,13319458
13365731,13365733
13547050,13547049
13443175,13437078
13551543,13552341
13415306,13406749
13556321,13549566
13342440,13385497
13327526,13357824
13547799,13548366
13288450,13288309
13360943,13387495
13557671,13556802
13377994,13335497
13449608,13454983
13505525,13500269
13307933,13307934
13285735,13316931
13400047,13438855
13319458,13327309
13449352,"13449351, 13449351"
13353282,13353170
13386733,13311794
13307843,13293226
13515499,13480463
13410500,13412901
13325573,13342588
13398568,13375722
13485276,13486579
13407830,13416957
13360286,13354844
13547051,13547050
13481711,13479551
13379394,13379396
13510063,13510338
13286398,13286397
13416440,13478489
13286397,13286398
13315911,13317591
13573273,13387651
13514886,13516200
13366836,13366842
13370544,13370252
13486883,13407415
13362275,13362276
13385497,13342440
13474625,13474624
13515878,13515722
13438189,13438195
13407416,13408713
13386450,13438681
13327305,13325819
13399626,13416377
13277636,13277616
13376520,13373437
13481784,13477332
13411409,13411684
13521649,13518038
13525296,13528096
13400791,13400626
13362276,13362275
13545437,13543527
13339536,13344267
13482317,13537907
13476194,13476556
13382583,13384309
13391479,13390806
13316931,13285735
13532022,13532414
13408713,13407416
13365275,13292045
13321190,13324252
13537739,13335671
13535713,"13538042, 13537070"
13416028,13449894
13356034,13373270
13518038,13521649
13543885,13543871
13559299,13559298
13345358,13345383
13443216,13584786
13445870,13446349
13530489,13529365
13279987,13412544
13372113,13376084
13425004,"13425021, 13425021"
13522998,"13556717, 13556717"
13519790,13556524
13481529,13483271
13306716,13317107
13592854,13586341
13302642,13301899
13325503,13327624
13559310,13559314
13423759,13481566
13494151,13520553
13301757,13372986
13358044,13337721
13412544,13279987
13363124,13363125
13296658,13293617
13530499,13530004
13559313,13559308
13327624,13325503
13319210,13319209
13528502,13524256
13474272,13566522
13301578,13301362
13549157,13549253
13566522,13474272
13598480,13598479
13379350,13439472
13561394,13560186
13424501,13411324
13293617,13296658
13502519,13448212
13519646,13426203
13437159,13522998
13503078,13326196
13559321,13562334
13338465,13338464
13426203,13519646
13474688,13472721
13557750,13420672
13486649,13507444
13486196,13519654
13308668,13308692
13420472,13454649
13301362,13301578
13538565,13560202
13440806,"13581710, 13540286"
13285859,13305336
13403547,13380206
13445160,13425003
13396349,13443473
13482611,13472099
13325642,13323121
13344074,13357600
13549948,13599787
13476310,13479403
13479403,13476310
13353722,13343822
13412852,13432745
13438913,"13547000, 13396667"
13486069,13502654
13502654,13486069
13471087,13472056
13288139,13287181
13287276,13279610
13411867,13528626
13336044,13338162
13440545,13435952
13432165,13472380
13338474,13339216
13472129,13473329
13547000,13438913
13409722,13410294
13472057,13472420
13580056,13556559
13450390,13451378
13478269,13478452
13522853,13514035
13389310,13415769
13304868,13296897
13493686,13493451
13350793,13313031
13324135,13362507
13338114,13320897
13344658,13344315
13352901,13337479
13469509,13469701
13529273,13528847
13380399,13369341
13299426,13301873
13303531,13304768
13568947,"13600492, 13575709"
13301011,13300407
13594638,13592925
13302944,13302942
13368078,13368079
13302942,13302944
13313031,13350793
13435686,13476491
13320258,13336690
13393625,"13515190, 13383390"
13476556,13476194
13565868,13564785
13424306,13449721
13373270,13356034
13379396,13379394
13436961,13481084
13509229,13509808
13570248,13570245
13396794,13398147
13543837,13546863
13278345,13481726
13352395,13317167
13306238,13306239
13398147,13396794
13345939,13305276
13384047,13387723
13437078,13443175
13592488,13597463
13516209,13525401
13315769,13309875
13469863,13439039
13317167,13352395
13290159,13287805
13564785,13565868
13572863,13573074
13541983,13545024
13355012,13352136
13362869,13362866
13558337,13558090
13571819,13560552
13322388,13314319
13412659,13412660
13517668,13521576
13346504,13346505
13384309,13382583
13557588,13555277
13353170,13353282
13327984,13286356
13387216,13401539
13434529,13434531
13398092,13391825
13336581,13361755
13588393,13589845
13446733,13449073
13597463,13592488
13558090,13558337
13294082,13346977
13475837,13477564
13537028,13537100
13367531,13367530
13528096,13525296
13510338,13510063
13325819,13327305
13533856,13529123
13449073,13446733
13335671,13537739
13290977,13289433
13552254,13552054
13416412,13419939
13376468,13381178
13531368,13532101
13582053,13576846
13412208,13509166
13366842,13366836
13412901,13410500
13503183,13502634
13351742,13363523
13562592,13562653
13448676,13448678
13354065,"13391768, 13318475"
13301506,13310115
13525629,13485979
13536388,13536389
13560552,13571819
13300117,13282925
13310115,13301506
13500644,13392311
13555277,13557588
13553943,13553941
13474624,13474625
13497434,13491293
13354865,13355465
13485979,13525629
13349072,13348885
13409023,13405839
13520234,13520892
13283182,13281157
13552054,13552254
13529764,13525639
13430369,13432761
13297533,13296076
13468509,13392240
13562653,13562592
13506718,13513638
13432319,13413292
13491293,13497434
13297946,13327984
13370704,13368326
13375722,13398568
13323725,13344728
