batch_id	issue_count	directed_relation_count	undirected_relation_count	reciprocal_pair_count	reciprocal_pair_ratio
1bcfeb4316b01533b87988b9dc3eeed9	1068	1034	560	474	0.8464
issue_id	in_degree	out_degree	neighbor_count
13363492	1	2	3
13290844	1	2	2
13315797	1	1	2
13327984	1	1	2
13339673	1	1	2
13342319	1	1	2
13351881	1	2	2
13352724	1	1	2
13354065	1	2	2
13362678	1	1	2
neighbor_count	issue_count
13526136	13602508
13526397	13530862
13527018	13529161
13527045	13527183
13527792	13534114
13528108	13534793
13528847	13529273
13529123	13533856
13529365	13530489
13529464	13558181
13529977	13535770
13529988	13581486
13530004	13530499
13531368	13532101
13532022	13532414
13535712	13538042
13535713	13537070
13536388	13536389
13537138	13537149
13537904	13565815
13538565	13560202
13540227	13541301
13540519	13540520
13541983	13545024
13542471	13542472
13542716	13543607
13543527	13545437
13543871	13543885
13546563	13548117
13547008	13554992
13547799	13548366
13548885	13555403
13549038	13551071
13549157	13549253
13549566	13556321
13549948	13599787
13550589	13553562
13551543	13552341
13551869	13552186
13552054	13552254
13553941	13553943
13554141	13555560
13555277	13557588
13555636	13556437
13556559	13580056
13556802	13557671
13558084	13558085
13558090	13558337
13559292	13560089
13559294	13559297
13559298	13559299
13559307	13559312
13559308	13559313
13559309	13559316
13559310	13559314
13559321	13562334
13559365	13560559
13560036	13560037
13560186	13561394
13560552	13571819
13562592	13562653
13562714	13565618
13562836	13573172
13563989	13579472
13564785	13565868
13565644	13569289
13566762	13571270
13568947	13575709
13569380	13582872
13569689	13594251
13570023	13579939
13570245	13570248
13572863	13573074
13574453	13574509
13574949	13575729
13576846	13582053
13577258	13577266
13578505	13579953
13584145	13593745
13586341	13592854
13586879	13589694
13588393	13589845
13592488	13597463
13592925	13594638
13596253	13598011
13598479	13598480
13599363	13599364
batch_id	status	input_rows	output_rows	elapsed_seconds	error_message
1bcfeb4316b01533b87988b9dc3eeed9	SUCCESS	1021	1034	29	NULL
id	select_type	table	partitions	type	possible_keys	key	key_len	ref	rows	filtered	Extra
1	SIMPLE	c	NULL	const	PRIMARY,fk_current_batch	PRIMARY	258	const	1	100.00	NULL
1	SIMPLE	r	NULL	ref	PRIMARY,ix_relation_reverse	ix_relation_reverse	136	const,const	1	100.00	Using index
